suburb,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,Ypred2,Threshold
ABERDARE,0.161791045,0.134557796,0.131349564,0.12048525,0.101400415,0.101400415,0.100453662,0.100453662,0.029558146,0.05072162,0.049307706,0.064422274,0.134864267,0.123512995,0.114508072,0.108571429,0.130718354,0.121677914,0.109982873,0.109016393,0.001335321,0.002924732,0.002761767,0.004297219,0.135619027,0.124523987,0.114143176,0.114184931,0.001884023,1,0,0.9893977,1
ABERDEEN,0.084776119,0.085645837,0.082256287,0.081885856,0.070280083,0.062240664,0.062605314,0.062605314,0.048273413,0.022785185,0.030309219,0.026647602,0.082922211,0.07628122,0.072622931,0.071064935,0.08308837,0.074314755,0.071038251,0.07295082,0.003069713,0.000681967,0.001125876,0.00077335,0.083094831,0.076140717,0.070288788,0.071195487,0.008247625,1,1,0.00054276,0
ABERGLASSLYN,0.039385075,0.032441605,0.028854824,0.026468156,0.032870851,0.030731328,0.031108231,0.031108231,0.029376633,0.037460625,0.043097992,0.055376793,0.038517903,0.03440548,0.034783865,0.032,0.040005512,0.034866283,0.037843569,0.038934426,0.001321875,0.001666938,0.002148217,0.003194162,0.038779047,0.034603488,0.035662359,0.036330969,0.024648159,1,0,1,1
ABERMAIN,0.266865672,0.222399681,0.219517082,0.201360169,0.174662863,0.174662863,0.143875567,0.142579391,0.061746154,0.080561432,0.010624834,0.012389337,0.224023637,0.196876586,0.182114694,0.171168831,0.218216057,0.186453387,0.180327869,0.181147541,0.004744949,0.007031729,0.000187005,0.000183336,0.225567446,0.19790335,0.180388201,0.174560395,0.001340306,0,0,0,0
ACACIA GARDENS,0.045970149,0.048213216,0.050996894,0.046778789,0.036436722,0.036436722,0.036811406,0.036811406,0.02191799,0.01925811,0.016248269,0.022282706,0.043799798,0.043489598,0.04289666,0.041194805,0.04400147,0.042176956,0.041269065,0.042622951,0.000825407,0.000508972,0.000376708,0.000549651,0.043783692,0.043422729,0.042554932,0.043927444,0.022893412,1,0,0.04174745,0
ADAMSTOWN HEIGHTS,0.112597015,0.099620683,0.096282938,0.088319088,0.073521784,0.067848807,0.068211277,0.068211277,0.022313858,0.018946534,0.02350782,0.029241071,0.097705152,0.087127192,0.08318195,0.077571429,0.097234981,0.085853537,0.082660468,0.080655738,0.000849006,0.000494877,0.00071447,0.000924267,0.098248318,0.087439104,0.082931229,0.080648144,0.002514626,1,0,0.005196095,0
ADAMSTOWN,0.313432836,0.261329607,0.258591324,0.237202463,0.231068465,0.231068465,0.231367466,0.189889825,0.106860101,0.13611825,0.177782779,0.088727905,0.294663591,0.25662457,0.246810619,0.217506494,0.292623553,0.248729484,0.237174782,0.23557377,0.012955073,0.019387958,0.032637377,0.008069829,0.296864615,0.258475477,0.251476655,0.227114793,0.00062915,0,0,0.000137866,0
ALBION PARK RAIL,0.139701493,0.116091036,0.112814347,0.103483136,0.098871888,0.098807054,0.095593001,0.089436163,0.038157085,0.061404529,0.067549937,0.06719744,0.133419341,0.118368382,0.109863342,0.09961039,0.132188132,0.118553695,0.111410162,0.109836066,0.002046617,0.004191917,0.005007103,0.004668363,0.134363297,0.119082232,0.108940807,0.098661699,0.001884023,0,1,0,0
ALBION PARK,0.28,0.233379916,0.230538022,0.211469534,0.21875,0.21875,0.219053791,0.219053791,0.128969644,0.157557624,0.194524262,0.242724866,0.270584081,0.246377629,0.236406424,0.225974026,0.275950762,0.241856203,0.235788272,0.248360656,0.01844107,0.025794907,0.038944443,0.05936363,0.271782235,0.246822926,0.236410228,0.240484589,0.002150919,1,1,0,0
ALBURY,0.00119403,0.004791376,0.001102094,0.001010936,0.005899896,0.004149378,0,0,0.011154136,0.012416979,0.003452041,0.007246441,0.005748275,0.00332638,0,0,0.005190152,0.001832875,0,0,0.000301923,0.000243843,3.62E-05,7.01E-05,0.005955421,0.004028473,0,0.001096535,0.039743618,1,0,0,0
ALEXANDRIA,0.085791045,0.071171891,0.067728685,0.062126643,0.065093361,0.04784751,0.048217758,0.048217758,0.030812738,0.015202446,0.020714019,0.027278453,0.070405212,0.059578846,0.057305644,0.053480519,0.067219364,0.057110722,0.055745861,0.053278689,0.001430034,0.00034058,0.000572096,0.000808825,0.070975935,0.059699647,0.056762627,0.054906002,0.004701452,0,1,0.000437081,0
ALLAMBIE HEIGHTS,0.088119403,0.075643841,0.083358381,0.087400055,0.080005187,0.080005187,0.074530136,0.074530136,0.06676714,0.084518142,0.060942381,0.052838882,0.097354319,0.083565428,0.080157714,0.08025974,0.103435605,0.080646505,0.077970802,0.081967213,0.005460633,0.007709056,0.004117481,0.002914,0.098298784,0.083232987,0.078730713,0.085516494,1,1,0,0,0
ALSTONVILLE,0.234626866,0.195448193,0.192465685,0.176546273,0.161047718,0.148729253,0.132858069,0.12896954,0.063986924,0.05725075,0.028049374,0.024447342,0.206284108,0.175692056,0.163638991,0.152337662,0.199246739,0.170624011,0.161773102,0.161065574,0.005058215,0.003672282,0.000978991,0.000655836,0.208078636,0.176932357,0.162827363,0.156130686,0.00144631,0,0,0.16453049,0
AMBARVALE,0.056119403,0.051706928,0.049594229,0.048800662,0.034556535,0.034556535,0.034931951,0.034931951,0.010157514,0.013489325,0.01276719,0.012147893,0.047540154,0.043849016,0.041802568,0.040753247,0.046711372,0.042739315,0.040861267,0.041803279,0.000264986,0.000279261,0.000251871,0.000176837,0.047789175,0.04384885,0.040810207,0.042157135,0.00811028,1,1,1.34E-06,0
ANNA BAY,0.097791045,0.104711519,0.101392646,0.093006158,0.070280083,0.070280083,0.070641607,0.070641607,0.038114004,0.01701687,0.022335374,0.028267856,0.090988808,0.089001804,0.085948144,0.080285714,0.094249495,0.086270099,0.084515945,0.081967213,0.002042691,0.000411878,0.000652834,0.000866062,0.091061182,0.089234096,0.08573233,0.08369334,0.009841115,1,0,0.0518201,0
ANNANDALE,0.182686567,0.19145538,0.18845807,0.172870141,0.168503631,0.168503631,0.16720674,0.16720674,0.122560929,0.123811725,0.125810555,0.158921717,0.205166657,0.194339516,0.187275505,0.175584416,0.213852655,0.19353495,0.18848381,0.189344262,0.016751886,0.016122531,0.01660376,0.025582092,0.205408185,0.193198032,0.182296494,0.169275891,0.040618028,0,1,1,1
ARMIDALE,0.087164179,0.087442603,0.084059713,0.077106884,0.062564834,0.062564834,0.06286455,0.06286455,0.034844298,0.032464901,0.031593574,0.038987379,0.082881471,0.077799938,0.071399818,0.068831169,0.083272093,0.076730817,0.0677249,0.069836066,0.001755356,0.001283636,0.001213877,0.00161139,0.083155241,0.078454306,0.070654544,0.072410923,1,1,0,1,1
ASHFIELD,0.05480597,0.048862048,0.045336139,0.041586251,0.039354253,0.039354253,0.039727803,0.039727803,0.016018819,0.030398641,0.036853252,0.048915102,0.044917249,0.041565654,0.041162627,0.038688312,0.04322065,0.03690744,0.038312536,0.035655738,0.000510274,0.001139586,0.001608432,0.002506145,0.045093516,0.041499563,0.040703433,0.040102784,0.02491122,0,1,0,0
ASHMONT,0.142447761,0.118386904,0.115118726,0.105596912,0.103993776,0.098158714,0.095917045,0.093324692,0.045274355,0.060074237,0.070863269,0.082387542,0.137638493,0.122286745,0.114157136,0.104883117,0.139215506,0.123969008,0.11875051,0.119672131,0.002745408,0.00402177,0.00548584,0.006972078,0.138528284,0.123551442,0.115433546,0.111780482,0.003105298,0,1,0,0
ASHTONFIELD,0.12,0.108604512,0.10530007,0.113132984,0.080005187,0.080005187,0.078418665,0.078418665,0.034722647,0.033296575,0.036736623,0.005583485,0.106059648,0.100115578,0.095929152,0.094415584,0.10732133,0.100849788,0.09774896,0.098770492,0.001745072,0.001344009,0.001599087,4.47E-05,0.106402464,0.09996301,0.093356415,0.096283672,0.02874225,1,0,0,0
AUBURN,0.08919403,0.08963865,0.08876866,0.081426339,0.06282417,0.06282417,0.063188594,0.06117952,0.03058471,0.025629704,0.026555112,0.025124961,0.080504948,0.078360207,0.075626522,0.069519481,0.080654051,0.076543364,0.073954,0.070286885,0.001412589,0.000839475,0.000887437,0.000690998,0.080629983,0.078592879,0.075852371,0.072694965,1,0,0,1,1
