Index,Postcode,Total_sum
1,2356,25
2,2809,29
3,2585,30
4,2588,32
5,2649,32
6,2661,38
7,2411,55
8,2735,56
9,2387,58
10,2678,68
11,2331,71
12,2401,71
13,2734,74
14,2805,76
15,2314,83
16,2408,85
17,2817,90
18,2633,91
19,2398,94
20,2611,102
21,2803,105
22,2397,106
23,2822,106
24,2584,106
25,2755,109
26,2475,109
27,2846,109
28,2736,111
29,2721,113
30,2386,116
31,2726,120
32,2874,123
33,2826,124
34,2345,125
35,2868,125
36,2379,125
37,2898,135
38,2659,141
39,2344,145
40,2626,150
41,2410,152
42,2808,153
43,2555,158
44,2792,162
45,2399,173
46,2342,174
47,2631,181
48,2405,181
49,2807,184
50,2725,184
51,2791,185
52,2727,188
53,2865,194
54,2629,194
55,2618,214
56,2797,217
57,2737,219
58,2465,228
59,2139,230
60,2876,230
61,2864,232
62,2757,237
63,2867,243
64,2355,247
65,2490,250
66,2123,257
67,2569,258
68,2838,262
69,2873,277
70,2359,293
71,2568,294
72,2623,295
73,2403,298
74,2522,312
75,2563,313
76,2339,314
77,2351,315
78,2361,318
79,2655,319
80,2129,325
81,2818,326
82,2645,334
83,2311,337
84,2628,354
85,2426,356
86,2842,362
87,2784,365
88,2424,366
89,2793,367
90,2578,373
91,2353,381
92,2625,383
93,2806,385
94,2545,391
95,2421,422
96,2707,427
97,2668,430
98,2665,432
99,2878,443
100,2798,444
101,2395,446
102,2702,451
103,2338,454
104,2733,466
105,2172,474
106,2879,483
107,2080,492
108,2381,524
109,2712,528
110,2104,537
111,2105,547
112,2716,551
113,2396,568
114,2778,569
115,2476,580
116,2656,582
117,2875,585
118,2581,591
119,2658,608
120,2843,614
121,2732,617
122,2108,617
123,2415,624
124,2738,650
125,2681,659
126,2730,664
127,2157,696
128,2175,701
129,2352,713
130,2748,728
131,2082,739
132,2312,740
133,2669,744
134,2402,745
135,2660,746
136,2225,748
137,2849,750
138,2052,766
139,2231,766
140,2644,768
141,2675,782
142,2703,798
143,2371,811
144,2844,820
145,2632,824
146,2729,829
147,2647,831
148,2382,833
149,2347,834
150,2538,834
151,2701,850
152,2823,853
153,2866,890
154,2329,907
155,2404,910
156,2094,915
157,2472,917
158,2804,921
159,2427,928
160,2583,936
161,2406,941
162,2775,943
163,2556,964
164,2845,978
165,2786,992
166,2653,999
167,2706,1006
168,2425,1011
169,2063,1025
170,2488,1052
171,2369,1056
172,2810,1057
173,2752,1069
174,2466,1082
175,2587,1088
176,2714,1092
177,2084,1108
178,2713,1109
179,2462,1113
180,2715,1115
181,2358,1116
182,2079,1119
183,2739,1121
184,2847,1137
185,2336,1145
186,2848,1154
187,2341,1154
188,2453,1156
189,2831,1157
190,2643,1175
191,2828,1175
192,2267,1200
193,2642,1204
194,2278,1212
195,2869,1213
196,2455,1221
197,2783,1222
198,2549,1259
199,2328,1260
200,2479,1262
201,2586,1273
202,2621,1279
203,2758,1312
204,2579,1320
205,2776,1338
206,2622,1343
207,2334,1348
208,2785,1350
209,2833,1357
210,2109,1393
211,2439,1396
212,2651,1409
213,2159,1413
214,2420,1434
215,2572,1440
216,2083,1450
217,2671,1490
218,2449,1492
219,2294,1502
220,2473,1515
221,2156,1561
222,2062,1570
223,2471,1573
224,2354,1623
225,2297,1629
226,2191,1633
227,2534,1641
228,2178,1679
229,2045,1684
230,2092,1754
231,2779,1755
232,2535,1833
233,2445,1835
234,2422,1848
235,2308,1943
236,2365,1947
237,2081,1968
238,2825,1974
239,2286,1974
240,2782,2003
241,2619,2010
242,2672,2036
243,2722,2043
244,2852,2065
245,2489,2096
246,2773,2097
247,2025,2105
248,2071,2113
249,2174,2165
250,2126,2214
251,2214,2235
252,2128,2266
253,2102,2272
254,2085,2300
255,2087,2316
256,2627,2346
257,2119,2356
258,2346,2377
259,2307,2434
260,2799,2443
261,2474,2450
262,2265,2469
263,2769,2473
264,2717,2475
265,2574,2497
266,2441,2500
267,2551,2500
268,2824,2506
269,2423,2519
270,2125,2532
271,2663,2534
272,2158,2551
273,2388,2554
274,2648,2590
275,2335,2596
276,2731,2608
277,2508,2611
278,2106,2629
279,2023,2633
280,2069,2653
281,2072,2663
282,2132,2670
283,2293,2693
284,2133,2708
285,2754,2755
286,2073,2776
287,2431,2778
288,2198,2804
289,2666,2839
290,2316,2840
291,2107,2843
292,2652,2860
293,2469,2867
294,2068,2871
295,2097,2871
296,2086,2874
297,2409,2877
298,2319,2883
299,2548,2883
300,2070,2884
301,2110,2948
302,2295,2954
303,2787,2994
304,2646,3038
305,2317,3075
306,2357,3076
307,2573,3077
308,2006,3094
309,2130,3096
310,2136,3179
311,2258,3228
312,2337,3229
313,2075,3264
314,2516,3311
315,2557,3323
316,2116,3359
317,2343,3367
318,2096,3373
319,2827,3385
320,2048,3394
321,2525,3402
322,2222,3405
323,2558,3413
324,2559,3418
325,2454,3434
326,2061,3481
327,2836,3487
328,2226,3487
329,2482,3492
330,2103,3507
331,2839,3529
332,2029,3534
333,2090,3535
334,2027,3547
335,2711,3607
336,2762,3610
337,2296,3617
338,2038,3628
339,2571,3683
340,2834,3684
341,2064,3745
342,2835,3748
343,2463,3758
344,2515,3766
345,2477,3816
346,2443,3818
347,2877,3873
348,2043,3908
349,2224,3932
350,2179,3945
351,2429,3963
352,2372,4004
353,2028,4072
354,2030,4098
355,2039,4165
356,2218,4176
357,2318,4185
358,2630,4284
359,2221,4299
360,2590,4319
361,2206,4337
362,2074,4389
363,2024,4402
364,2464,4423
365,2047,4442
366,2111,4443
367,2089,4488
368,2219,4531
369,2019,4554
370,2582,4601
371,2227,4611
372,2173,4688
373,2576,4774
374,2546,4853
375,2506,4936
376,2076,4962
377,2143,4970
378,2033,4978
379,2115,5016
380,2505,5027
381,2306,5106
382,2282,5168
383,2093,5180
384,2774,5236
385,2777,5356
386,2041,5423
387,2577,5444
388,2050,5463
389,2152,5492
390,2209,5502
391,2829,5508
392,2447,5551
393,2533,5667
394,2223,5713
395,2821,5765
396,2321,5811
397,2326,5845
398,2487,5853
399,2138,5876
400,2390,5957
401,2177,5977
402,2203,6090
403,2305,6103
404,2101,6170
405,2292,6183
406,2208,6262
407,2550,6274
408,2233,6292
409,2302,6300
410,2700,6327
411,2192,6415
412,2327,6425
413,2211,6440
414,2049,6548
415,2539,6559
416,2120,6564
417,2118,6570
418,2575,6624
419,2234,6639
420,2137,6656
421,2281,6819
422,2456,6905
423,2193,6956
424,2537,6975
425,2710,7018
426,2197,7051
427,2448,7139
428,2832,7151
429,2260,7153
430,2008,7183
431,2768,7290
432,2517,7294
433,2446,7320
434,2720,7392
435,2315,7441
436,2018,7644
437,2117,7651
438,2526,7663
439,2066,7687
440,2121,7703
441,2032,7704
442,2007,7724
443,2088,7727
444,2207,7804
445,2380,7812
446,2213,7889
447,2519,7909
448,2114,7955
449,2527,8043
450,2284,8120
451,2044,8236
452,2594,8251
453,2705,8264
454,2291,8275
455,2483,8341
456,2370,8434
457,2871,8525
458,2046,8661
459,2794,8729
460,2199,8766
461,2745,8834
462,2749,8860
463,2151,8896
464,2840,8903
465,2122,8967
466,2251,9006
467,2140,9069
468,2171,9089
469,2034,9293
470,2484,9441
471,2146,9564
472,2763,9613
473,2759,9707
474,2452,9976
475,2264,10072
476,2753,10108
477,2212,10158
478,2195,10180
479,2040,10233
480,2299,10302
481,2127,10334
482,2100,10396
483,2870,10607
484,2485,10633
485,2820,10727
486,2113,10742
487,2162,10843
488,2564,10944
489,2780,10947
490,2289,11177
491,2112,11258
492,2060,11289
493,2131,11432
494,2020,11549
495,2015,11757
496,2065,11822
497,2850,11855
498,2360,12251
499,2176,12256
500,2790,12260
501,2167,12262
502,2298,12323
503,2470,12392
504,2486,12396
505,2536,12546
506,2766,12578
507,2217,12602
508,2502,12636
509,2190,12694
510,2164,12724
511,2765,12753
512,2154,12893
513,2163,12902
514,2333,12952
515,2280,12994
516,2194,13306
517,2134,13395
518,2196,13397
519,2518,13558
520,2229,13571
521,2330,13591
522,2566,13687
523,2021,13837
524,2262,13879
525,2099,14109
526,2210,14116
527,2761,14467
528,2257,14514
529,2529,14580
530,2153,14639
531,2095,14747
532,2570,14772
533,2283,14848
534,2205,15111
535,2565,15172
536,2530,15455
537,2528,15550
538,2155,15554
539,2031,15565
540,2009,15757
541,2304,15811
542,2641,15835
543,2256,16000
544,2036,16202
545,2141,16261
546,2228,16571
547,2478,16736
548,2580,16791
549,2204,16863
550,2216,16942
551,2135,17077
552,2230,17114
553,2481,17122
554,2567,17340
555,2767,17414
556,2300,17458
557,2428,17493
558,2540,17562
559,2035,17683
560,2022,17956
561,2037,18156
562,2303,18234
563,2756,18518
564,2161,18903
565,2026,18906
566,2322,18985
567,2017,19399
568,2880,19423
569,2263,19640
570,2042,19864
571,2067,20090
572,2324,20999
573,2620,21168
574,2323,21228
575,2232,21465
576,2285,21531
577,2460,22047
578,2680,22327
579,2350,23102
580,2077,23293
581,2220,23337
582,2287,23703
583,2440,24089
584,2290,24382
585,2160,24466
586,2144,24916
587,2016,25164
588,2168,26191
589,2444,26602
590,2147,26872
591,2165,27168
592,2430,27227
593,2325,28143
594,2541,28284
595,2400,28313
596,2142,28720
597,2640,30281
598,2795,31373
599,2261,32063
600,2480,32942
601,2320,33887
602,2166,34958
603,2747,35719
604,2800,36402
605,2145,36937
606,2011,37645
607,2200,40634
608,2450,41147
609,2259,44962
610,2830,45226
611,2760,47764
612,2010,47792
613,2340,48536
614,2500,51144
615,2750,55098
616,2650,56318
617,2150,56614
618,2250,63875
619,2560,73226
620,2770,92403
621,2148,94166
622,2170,106768
623,2000,140445
