suburb_postcode,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,is_up2
ABERDARE,263000,286000,286000,385500,412500,412500,412500,412500,46253.5424694393,46164.5607221239,49996.2498593645,11032.7794422902,338229.166666667,358000,371000,399333.333333333,334875,368500,392750,400000,2139390190.97222,2131166666.66667,2499625000,121722222.222222,63446.3636363636,156064.705882353,295250,595875,98.2464783957284,1,0,1
ABERDEEN,180000,180000,247500,247500,440000,440000,440000,440000,63063.8936072752,81514.5266535699,75754.0221704432,87424.5706626893,282497.083333333,297916.666666667,318125,316666.666666667,269250,292500,292500,262500,3977054676.90972,6644618055.55556,5738671875,7643055555.55556,53069.825974026,130602.941176471,261363.636363636,478750,191.096816719553,0,1,0
ABERGLASSLYN,438000,465000,465000,478500,525000,525000,525000,525000,22224.8121320644,20615.73866141,22633.9761199839,21575.4490103914,464520.833333333,480791.666666667,487125,494500,461250,474875,479250,480000,493942274.305556,425008680.555556,512296875,465500000,87404.2207792208,211123.529411765,394500,730500,127.168934458739,1,0,1
ABERMAIN,244200,297500,297500,297500,415000,415000,415000,415000,41670.1823516795,38480.2438488462,46317.5182841223,50538.7640001877,322558.333333333,348750,353750,345000,314500,338750,351250,322500,1736404097.22222,1480729166.66667,2145312500,2554166666.66667,60555.5064935065,154500,297159.090909091,546875,120.89278984209,1,0,0
ACACIA GARDENS,738500,738500,738500,740500,903500,903500,872500,872500,53851.0153816889,63402.5937078988,54600.108745313,54074.5370350552,821270.833333333,803666.666666667,787125,803333.333333333,823000,783500,768750,797000,2899931857.63889,4019888888.88889,2981171875,2924055555.55556,155040.324675325,356323.529411765,645590.909090909,1238000,36.566248483712,1,0,0
ADAMSTOWN HEIGHTS,603000,722500,722500,722500,749750,747500,747500,745000,44432.4696324534,11025.5385356,11319.2314226718,10069.2049779955,705895.833333333,734250,735000,730833.333333333,722500,734000,735000,725000,1974244357.63889,121562500,128125000,101388888.888889,132735,324100,603522.727272727,1101875,109.734250109752,0,0,0
ADAMSTOWN,510000,685000,685000,685000,750000,750000,730000,725000,73036.0451345011,22404.8915789982,18304.285700349,16467.1389945754,678166.666666667,721750,710125,703500,700250,727500,712750,700500,5334263888.88889,501979166.666667,335046875,271166666.666667,127302.727272727,319208.823529412,581000,1045250,109.734250109752,0,1,1
ALBION PARK RAIL,485950,535000,535000,535000,587500,587500,585000,585000,31315.0353819411,18465.4331718003,18794.9461292125,20949.6751499609,547579.166666667,564666.666666667,559500,556666.666666667,556250,565250,559000,550000,980631440.972222,340972222.222222,353250000,438888888.888889,103051.74025974,249950,460818.181818182,847500,92.7599980220962,1,0,0
ALBION PARK,529500,590000,590000,590000,659000,659000,652500,652500,40299.7180425069,23212.1854971813,23485.3677850699,26060.8262851865,601854.166666667,631666.666666667,628750,625000,603750,636250,636250,632500,1624067274.30556,538805555.555556,551562500,679166666.666667,113170.714285714,279508.823529412,518295.454545455,953125,92.7599980220962,1,0,0
ALBURY,455000,480000,507500,507500,610000,610000,610000,610000,47180.0013960092,47282.6407043766,39303.5655338275,42673.8275240874,528314.791666667,543406.25,545109.375,552833.333333333,514718.75,531468.75,531468.75,541000,2225952531.72743,2235648111.97917,1544770263.67188,1821055555.55556,99418.8194805195,239398.161764706,447028.409090909,846500,453.985125850965,1,0,1
ALEXANDRIA,1030000,1030000,1030000,1030000,1805000,1595000,1540000,1540000,206451.100403071,190636.566133631,186337.521382571,209214.005267334,1519604.16666667,1404958.33333333,1324625,1299500,1540000,1468125,1364250,1328500,42622056857.6389,36342300347.2222,34721671875,43770500000,287823.181818182,629564.705882353,1113818.18181818,2076750,7.979228579014,1,0,0
ALLAMBIE HEIGHTS,1400000,1400000,1400000,1400000,1755000,1737250,1681000,1681000,97107.6779303307,107097.988621013,110908.939985693,128063.623510608,1615833.75,1614500,1581187.5,1580750,1637500,1643125,1621875,1661250,9429901113.02083,11469979166.6667,12300792968.75,16400291666.6667,304575.149350649,714200,1292920.45454545,2366187.5,10.4021439600769,1,0,1
ALSTONVILLE,455000,560000,560000,560000,635000,635000,635000,635000,59599.1347054543,27651.1000383951,27471.5762197949,31180.4782231162,543270.833333333,587500,598750,601666.666666667,560000,580000,600000,610000,3552056857.63889,764583333.333333,754687500,972222222.222222,101897.662337662,258764.705882353,492500,921250,587.908625333164,1,0,0
AMBARVALE,526500,530000,530000,530000,610500,592500,560000,560000,26549.8417551258,24224.0697562477,13390.1783035178,14142.135623731,560791.666666667,558333.333333333,543125,540000,560000,556250,541250,530000,704894097.222222,586805555.555556,179296875,200000000,105758.961038961,247705.882352941,446590.909090909,817500,58.3603587400797,1,0,1
ANNA BAY,461000,540000,552500,552500,622500,622500,622500,607000,50330.724787538,32850.8043618756,31299.1488502483,25402.0449745466,542729.166666667,580958.333333333,583937.5,571083.333333333,546250,580375,580375,553750,2533181857.63889,1079175347.22222,979636718.75,645263888.888889,101939.545454545,256655.882352941,483693.181818182,869937.5,15203.2192252038,0,0,1
ANNANDALE,1400000,1530000,1530000,1582500,2140000,1652500,1651250,1651250,201401.921393447,44646.8589476224,45601.3209101447,28215.1948818757,1674520.83333333,1614041.66666667,1596687.5,1618916.66666667,1648125,1634000,1602750,1623000,40562733940.9722,1993342013.88889,2079480468.75,796097222.222222,315953.701298701,712944.117647059,1303443.18181818,2445562.5,8.34030854654448,1,0,0
ARMIDALE,328000,335000,335000,340000,370000,360000,360000,360000,12261.0494384997,9581.52156786987,11388.0419739304,9428.09041582063,347000,347166.666666667,348750,353333.333333333,344000,344000,350000,360000,150333333.333333,91805555.5555555,129687500,88888888.8888889,65433.2467532468,152776.470588235,283181.818181818,525000,379.299073879819,1,1,1
ASHFIELD,1160000,1325000,1325000,1325000,1918000,1705000,1705000,1705000,217983.142943758,146664.565562602,163875.941549545,172497.987105808,1542020.83333333,1497125,1529437.5,1568333.33333333,1518000,1456375,1543875,1675000,47516650607.6389,21510494791.6667,26855324218.75,29755555555.5556,290577.272727273,658680.882352941,1258022.72727273,2447500,12.6256600552572,1,0,0
ASHMONT,165000,165000,190000,190000,260000,245000,245000,245000,27931.8039650692,26529.3338694275,21077.238908358,23098.8215187606,215785.416666667,204166.666666667,217500,213666.666666667,221750,198000,217500,206000,780185672.743056,703805555.555555,444250000,533555555.555556,40782.2402597403,89423.5294117647,180772.727272727,330250,380.479338103496,1,0,1
ASHTONFIELD,458000,489000,547500,556500,615000,615000,615000,615000,43823.1679831951,40485.3368517541,26118.4202240488,25719.6422992234,546812.5,562250,571125,579000,552000,561000,561000,565500,1920470052.08333,1639062500,682171875,661500000,102837.402597403,247182.352941176,462886.363636364,856125,126.837386784717,1,0,1
